Count,Instrument,Duration (Quarter)
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Hi-Hat (Closed),0.5
&,Hi-Hat (Open),0.5
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Snare,0.5
2,Snare,0.5
&,Snare,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Snare,0.5
2,Snare,0.5
&,Snare,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Snare,0.5
2,Snare,0.5
&,Snare,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Snare,0.5
&,Snare,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,,
&,,
4,,
&,,
1,Kick,0.5
&,Kick,0.5
2,Kick,0.5
&,Kick,0.5
3,Kick,0.5
&,,
4,,
&,,
1,Kick,0.5
&,,
2,,
&,,
3,,
&,,
4,,
&,,
