Offset (Beat),Instrument,Duration (Quarter)
12.0,Hi-Hat (Closed),0.5
12.5,Hi-Hat (Open),0.5
16.0,Snare,0.5
16.5,Snare,0.5
16.0,Kick,0.5
16.5,Kick,0.5
17.0,Kick,0.5
17.5,Kick,0.5
20.0,Snare,0.5
20.5,Snare,0.5
20.0,Kick,0.5
20.5,Kick,0.5
21.0,Kick,0.5
21.5,Kick,0.5
22.0,Kick,0.5
28.0,Snare,0.5
28.5,Snare,0.5
28.0,Kick,0.5
28.5,Kick,0.5
29.0,Kick,0.5
29.5,Kick,0.5
30.0,Kick,0.5
36.0,Snare,0.5
36.5,Snare,0.5
36.0,Kick,0.5
36.5,Kick,0.5
37.0,Kick,0.5
37.5,Kick,0.5
40.0,Snare,0.5
40.5,Snare,0.5
40.0,Kick,0.5
40.5,Kick,0.5
41.0,Kick,0.5
41.5,Kick,0.5
42.0,Kick,0.5
48.0,Snare,0.5
48.5,Snare,0.5
48.0,Kick,0.5
48.5,Kick,0.5
49.0,Kick,0.5
49.5,Kick,0.5
50.0,Kick,0.5
56.0,Snare,0.5
56.5,Snare,0.5
56.0,Kick,0.5
56.5,Kick,0.5
57.0,Kick,0.5
57.5,Kick,0.5
58.0,Kick,0.5
64.0,Snare,0.5
64.5,Snare,0.5
65.0,Snare,0.5
64.0,Kick,0.5
64.5,Kick,0.5
65.0,Kick,0.5
65.5,Kick,0.5
68.0,Snare,0.5
68.5,Snare,0.5
68.0,Kick,0.5
68.5,Kick,0.5
69.0,Kick,0.5
69.5,Kick,0.5
70.0,Kick,0.5
72.0,Snare,0.5
72.5,Snare,0.5
72.0,Kick,0.5
72.5,Kick,0.5
73.0,Kick,0.5
73.5,Kick,0.5
76.0,Snare,0.5
76.5,Snare,0.5
76.0,Kick,0.5
76.5,Kick,0.5
77.0,Kick,0.5
77.5,Kick,0.5
78.0,Kick,0.5
84.0,Snare,0.5
84.5,Snare,0.5
84.0,Kick,0.5
84.5,Kick,0.5
85.0,Kick,0.5
85.5,Kick,0.5
86.0,Kick,0.5
92.0,Snare,0.5
92.5,Snare,0.5
92.0,Kick,0.5
92.5,Kick,0.5
93.0,Kick,0.5
93.5,Kick,0.5
94.0,Kick,0.5
100.0,Snare,0.5
100.5,Snare,0.5
101.0,Snare,0.5
100.0,Kick,0.5
100.5,Kick,0.5
101.0,Kick,0.5
101.5,Kick,0.5
104.0,Snare,0.5
104.5,Snare,0.5
104.0,Kick,0.5
104.5,Kick,0.5
105.0,Kick,0.5
105.5,Kick,0.5
106.0,Kick,0.5
108.0,Snare,0.5
108.5,Snare,0.5
108.0,Kick,0.5
108.5,Kick,0.5
109.0,Kick,0.5
112.0,Snare,0.5
112.5,Snare,0.5
113.0,Snare,0.5
113.5,Snare,0.5
112.0,Kick,0.5
120.0,Snare,0.5
120.5,Snare,0.5
121.0,Snare,0.5
121.5,Snare,0.5
120.0,Kick,0.5
128.0,Snare,0.5
128.5,Snare,0.5
129.0,Snare,0.5
129.5,Snare,0.5
128.0,Kick,0.5
136.0,Snare,0.5
136.5,Snare,0.5
136.0,Kick,0.5
136.5,Kick,0.5
137.0,Kick,0.5
140.0,Hi-Hat (Closed),0.5
140.5,Hi-Hat (Closed),0.5
140.0,Snare,0.5
140.5,Snare,0.5
141.0,Snare,0.5
141.5,Snare,0.5
140.0,Kick,0.5
140.5,Kick,0.5
144.0,Snare,0.5
144.5,Snare,0.5
145.0,Snare,0.5
145.5,Snare,0.5
144.0,Kick,0.5
144.5,Kick,0.5
145.0,Kick,0.5
145.5,Kick,0.5
148.0,Snare,0.5
148.5,Snare,0.5
148.0,Kick,0.5
