Count,Instrument,Duration (Quarter)
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,,
1,Hi-Hat (Closed),0.5
&,Hi-Hat (Open),0.5
2,,
&,Hi-Hat (Open),0.5
3,,
&,Hi-Hat (Open),0.5
4,,
&,Hi-Hat (Open),0.5
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,,
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,,
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,,
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,,
&,,
3,,
&,,
4,,
&,,
1,,
&,,
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,Bass Drum,0.5
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,,
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,,
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Snare Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Bass Drum,0.5
3,,
&,Snare Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,,
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Bass Drum,0.5
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,,
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,Snare Drum,0.5
4,Bass Drum,0.5
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,,
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,Bass Drum,0.5
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,,
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,,
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Bass Drum,0.5
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,,
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,,
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,,
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,,
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,,
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Snare Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,Snare Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,,
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Bass Drum,0.5
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,,
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,,
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,Snare Drum,0.5
4,Bass Drum,0.5
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Bass Drum,0.5
&,Snare Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,,
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,,
&,,
1,,
&,,
2,,
&,,
3,,
&,,
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Snare Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,,
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Bass Drum,0.5
3,,
&,Snare Drum,0.5
4,Bass Drum,0.5
&,Bass Drum,0.5
1,Snare Drum,0.5
&,Bass Drum,0.5
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,Bass Drum,0.5
2,Snare Drum,0.5
&,Bass Drum,0.5
3,Bass Drum,0.5
&,,
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Bass Drum,0.5
&,Snare Drum,0.5
2,Bass Drum,0.5
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,,
&,Snare Drum,0.5
2,Bass Drum,0.5
&,,
3,Snare Drum,0.5
&,Bass Drum,0.5
4,Snare Drum,0.5
&,Bass Drum,0.5
1,Snare Drum,0.5
&,Snare Drum,0.5
2,Snare Drum,0.5
&,Snare Drum,0.5
3,Snare Drum,0.5
&,,
4,Snare Drum,0.5
&,Snare Drum,0.5
1,,
&,Snare Drum,0.5
2,Snare Drum,0.5
&,,
3,,
&,,
4,,
&,,
1,,
&,,
2,,
&,Snare Drum,0.5
3,Bass Drum,0.5
&,Snare Drum,0.5
4,Snare Drum,0.5
&,Snare Drum,0.5
1,Snare Drum,0.5
&,Snare Drum,0.5
2,,
&,Snare Drum,0.5
3,Snare Drum,0.5
&,,
4,Snare Drum,0.5
&,Snare Drum,0.5
