Part,Offset (Beat),Duration (Quarter),Drum Component
Voice,14.5,0.5,E
Voice,15.0,0.5,D
Voice,15.5,0.5,A
Voice,16.0,1.0,F
Voice,17.0,1.0,C
Voice,18.0,0.5,F
Voice,18.5,0.5,F
Voice,19.0,0.5,C
Voice,19.5,0.5,F
Voice,20.0,0.5,F
Voice,20.5,0.5,F
Voice,21.0,0.5,C
Voice,21.5,0.5,F
Voice,22.0,1.0,F
Voice,23.0,0.5,C
Voice,23.5,0.5,F
Voice,28.0,0.5,F
Voice,28.5,0.5,F
Voice,29.0,0.5,C
Voice,29.5,0.5,F
Voice,30.0,1.0,F
Voice,31.0,0.5,C
Voice,31.5,0.5,F
Voice,36.0,1.0,F
Voice,37.0,1.0,C
Voice,38.0,0.5,F
Voice,38.5,0.5,F
Voice,39.0,0.5,C
Voice,39.5,0.5,F
Voice,40.0,0.5,F
Voice,40.5,0.5,F
Voice,41.0,0.5,C
Voice,41.5,0.5,F
Voice,42.0,1.0,F
Voice,43.0,0.5,C
Voice,43.5,0.5,F
Voice,48.0,0.5,F
Voice,48.5,0.5,F
Voice,49.0,0.5,C
Voice,49.5,0.5,F
Voice,50.0,1.0,F
Voice,51.0,0.5,C
Voice,51.5,0.5,F
Voice,56.0,0.5,F
Voice,56.5,0.5,F
Voice,57.0,0.5,C
Voice,57.5,0.5,F
Voice,58.0,1.0,F
Voice,59.0,0.5,C
Voice,59.5,0.5,F
Voice,64.0,1.0,F
Voice,65.0,0.5,C
Voice,65.5,0.5,C
Voice,66.0,0.5,F
Voice,66.5,0.5,F
Voice,67.0,0.5,C
Voice,67.5,0.5,F
Voice,68.0,0.5,F
Voice,68.5,0.5,F
Voice,69.0,0.5,C
Voice,69.5,0.5,F
Voice,70.0,1.0,F
Voice,71.0,0.5,C
Voice,71.5,0.5,F
Voice,72.0,1.0,F
Voice,73.0,1.0,C
Voice,74.0,0.5,F
Voice,74.5,0.5,F
Voice,75.0,0.5,C
Voice,75.5,0.5,F
Voice,76.0,0.5,F
Voice,76.5,0.5,F
Voice,77.0,0.5,C
Voice,77.5,0.5,F
Voice,78.0,1.0,F
Voice,79.0,0.5,C
Voice,79.5,0.5,F
Voice,84.0,0.5,F
Voice,84.5,0.5,F
Voice,85.0,0.5,C
Voice,85.5,0.5,F
Voice,86.0,1.0,F
Voice,87.0,0.5,C
Voice,87.5,0.5,F
Voice,92.0,0.5,F
Voice,92.5,0.5,F
Voice,93.0,0.5,C
Voice,93.5,0.5,F
Voice,94.0,1.0,F
Voice,95.0,0.5,C
Voice,95.5,0.5,F
Voice,100.0,1.0,F
Voice,101.0,0.5,C
Voice,101.5,0.5,C
Voice,102.0,0.5,F
Voice,102.5,0.5,F
Voice,103.0,0.5,C
Voice,103.5,0.5,F
Voice,104.0,0.5,F
Voice,104.5,0.5,F
Voice,105.0,0.5,C
Voice,105.5,0.5,F
Voice,106.0,1.0,F
Voice,107.0,0.5,C
Voice,107.5,0.5,F
Voice,108.0,1.0,F
Voice,109.0,1.0,C
Voice,110.0,0.5,F
Voice,110.5,0.5,F
Voice,111.0,1.0,C
Voice,112.0,0.5,F
Voice,112.5,0.25,C
Voice,112.75,0.25,C
Voice,113.25,0.25,C
Voice,113.5,0.25,C
Voice,113.75,0.25,C
Voice,114.25,0.25,C
Voice,114.5,0.25,C
Voice,114.75,0.25,C
Voice,115.25,0.25,C
Voice,115.5,0.25,C
Voice,115.75,0.25,C
Voice,120.0,0.5,F
Voice,120.5,0.25,C
Voice,120.75,0.25,C
Voice,121.25,0.25,C
Voice,121.5,0.25,C
Voice,121.75,0.25,C
Voice,122.25,0.25,C
Voice,122.5,0.25,C
Voice,122.75,0.25,C
Voice,123.25,0.25,C
Voice,123.5,0.25,C
Voice,123.75,0.25,C
Voice,128.0,0.5,F
Voice,128.5,0.25,C
Voice,128.75,0.25,C
Voice,129.25,0.25,C
Voice,129.5,0.25,C
Voice,129.75,0.25,C
Voice,130.25,0.25,C
Voice,130.5,0.25,C
Voice,130.75,0.25,C
Voice,131.25,0.25,C
Voice,131.5,0.25,C
Voice,131.75,0.25,C
Voice,136.0,1.0,F
Voice,137.0,1.0,C
Voice,138.0,0.5,F
Voice,138.5,0.5,F
Voice,139.0,1.0,C
Voice,140.0,0.5,F
Voice,140.5,0.25,C
Voice,140.75,0.25,C
Voice,141.0,0.25,C
Voice,141.25,0.25,C
Voice,141.5,0.25,C
Voice,141.75,0.25,C
Voice,142.0,0.25,E
Voice,142.25,0.25,E
Voice,142.5,0.25,E
Voice,142.75,0.25,F
Voice,143.0,0.5,C
Voice,143.5,0.5,F
Voice,144.0,0.5,C
Voice,144.5,0.5,F
Voice,145.0,0.5,C
Voice,145.5,0.5,F
Voice,146.0,0.5,C
Voice,146.5,0.5,F
Voice,147.0,0.5,C
Voice,147.5,0.5,F
Voice,148.0,0.5,F
Voice,148.5,0.5,F
