Part,Offset (Beat),Duration (Quarter),Drum Component
Voice,0.0,0.5,Snare Drum
Voice,0.5,0.5,Bass Drum
Voice,1.0,0.5,Snare Drum
Voice,1.5,0.5,Bass Drum
Voice,2.0,0.5,Snare Drum
Voice,2.5,0.5,Bass Drum
Voice,3.0,0.5,Snare Drum
Voice,3.5,0.5,Bass Drum
Voice,4.0,0.5,Bass Drum
Voice,4.5,0.5,Bass Drum
Voice,5.0,1.0,Snare Drum
Voice,6.0,0.5,Bass Drum
Voice,6.5,0.5,Bass Drum
Voice,7.0,1.0,Snare Drum
Voice,8.0,0.5,Bass Drum
Voice,8.5,0.5,Bass Drum
Voice,9.0,1.0,Snare Drum
Voice,10.0,0.5,Bass Drum
Voice,10.5,0.5,Bass Drum
Voice,11.0,0.5,Snare Drum
Voice,11.5,0.25,Snare Drum
Voice,11.75,0.25,Snare Drum
Voice,16.0,0.5,Bass Drum
Voice,16.5,0.5,Bass Drum
Voice,17.0,1.0,Snare Drum
Voice,18.0,0.5,Bass Drum
Voice,18.5,0.5,Bass Drum
Voice,19.0,0.5,Snare Drum
Voice,19.5,0.25,Snare Drum
Voice,19.75,0.25,Snare Drum
Voice,24.0,0.5,Bass Drum
Voice,24.5,0.5,Bass Drum
Voice,25.0,1.0,Snare Drum
Voice,26.0,0.5,Bass Drum
Voice,26.5,0.5,Bass Drum
Voice,27.0,0.5,Snare Drum
Voice,27.5,0.25,Snare Drum
Voice,27.75,0.25,Snare Drum
Voice,32.0,0.5,Bass Drum
Voice,32.5,0.5,Bass Drum
Voice,33.0,1.0,Snare Drum
Voice,34.0,0.5,Bass Drum
Voice,34.5,0.5,Bass Drum
Voice,35.0,1.0,Snare Drum
Voice,36.0,0.5,Bass Drum
Voice,36.5,0.5,Bass Drum
Voice,37.0,1.0,Snare Drum
Voice,38.0,0.5,Bass Drum
Voice,38.5,0.5,Bass Drum
Voice,39.0,0.5,Snare Drum
Voice,39.5,0.5,Bass Drum
Voice,40.0,1.0,Bass Drum
Voice,41.0,0.5,Snare Drum
Voice,41.5,0.5,Snare Drum
Voice,42.0,0.5,Bass Drum
Voice,42.5,0.5,Bass Drum
Voice,43.0,0.5,Snare Drum
Voice,43.5,0.5,Bass Drum
Voice,44.0,0.5,Bass Drum
Voice,44.5,0.5,Bass Drum
Voice,45.0,0.5,Snare Drum
Voice,45.5,0.5,Bass Drum
Voice,46.0,1.0,Bass Drum
Voice,47.0,0.5,Snare Drum
Voice,47.5,0.5,Bass Drum
Voice,52.0,0.5,Bass Drum
Voice,52.5,0.5,Bass Drum
Voice,53.0,0.5,Snare Drum
Voice,53.5,0.5,Bass Drum
Voice,54.0,1.0,Bass Drum
Voice,55.0,0.5,Snare Drum
Voice,55.5,0.5,Bass Drum
Voice,60.0,1.0,Bass Drum
Voice,61.0,0.5,Snare Drum
Voice,61.5,0.5,Snare Drum
Voice,62.0,0.5,Bass Drum
Voice,62.5,0.5,Bass Drum
Voice,63.0,0.5,Snare Drum
Voice,63.5,0.5,Bass Drum
Voice,64.0,0.5,Bass Drum
Voice,64.5,0.5,Bass Drum
Voice,65.0,0.5,Snare Drum
Voice,65.5,0.5,Bass Drum
Voice,66.0,1.0,Bass Drum
Voice,67.0,0.5,Snare Drum
Voice,67.5,0.5,Bass Drum
Voice,68.0,1.0,Bass Drum
Voice,69.0,0.5,Snare Drum
Voice,69.5,0.5,Snare Drum
Voice,70.0,0.5,Bass Drum
Voice,70.5,0.5,Bass Drum
Voice,71.0,0.5,Snare Drum
Voice,71.5,0.5,Bass Drum
Voice,72.0,0.5,Bass Drum
Voice,72.5,0.5,Bass Drum
Voice,73.0,0.5,Snare Drum
Voice,73.5,0.5,Bass Drum
Voice,74.0,1.0,Bass Drum
Voice,75.0,0.5,Snare Drum
Voice,75.5,0.5,Bass Drum
Voice,76.0,0.5,Bass Drum
Voice,76.5,0.5,Bass Drum
Voice,77.0,1.0,Snare Drum
Voice,78.0,0.5,Bass Drum
Voice,78.5,0.5,Bass Drum
Voice,79.0,1.0,Snare Drum
Voice,80.0,0.5,Bass Drum
Voice,80.5,0.5,Bass Drum
Voice,81.0,1.0,Snare Drum
Voice,82.0,0.5,Bass Drum
Voice,82.5,0.5,Bass Drum
Voice,83.0,0.5,Snare Drum
Voice,83.5,0.25,Snare Drum
Voice,83.75,0.25,Snare Drum
Voice,88.0,0.5,Bass Drum
Voice,88.5,0.5,Bass Drum
Voice,89.0,1.0,Snare Drum
Voice,90.0,0.5,Bass Drum
Voice,90.5,0.5,Bass Drum
Voice,91.0,0.5,Snare Drum
Voice,91.5,0.25,Snare Drum
Voice,91.75,0.25,Snare Drum
Voice,96.0,0.5,Bass Drum
Voice,96.5,0.5,Bass Drum
Voice,97.0,1.0,Snare Drum
Voice,98.0,0.5,Bass Drum
Voice,98.5,0.5,Bass Drum
Voice,99.0,1.0,Snare Drum
Voice,100.0,0.5,Bass Drum
Voice,100.5,0.5,Bass Drum
Voice,101.0,1.0,Snare Drum
Voice,102.0,0.5,Bass Drum
Voice,102.5,0.5,Bass Drum
Voice,103.0,0.5,Snare Drum
Voice,103.5,0.5,Bass Drum
Voice,104.0,1.0,Bass Drum
Voice,105.0,0.5,Snare Drum
Voice,105.5,0.5,Snare Drum
Voice,106.0,0.5,Bass Drum
Voice,106.5,0.5,Bass Drum
Voice,107.0,0.5,Snare Drum
Voice,107.5,0.5,Bass Drum
Voice,108.0,0.5,Bass Drum
Voice,108.5,0.5,Bass Drum
Voice,109.0,0.5,Snare Drum
Voice,109.5,0.5,Bass Drum
Voice,110.0,1.0,Bass Drum
Voice,111.0,0.5,Snare Drum
Voice,111.5,0.5,Bass Drum
Voice,112.0,1.0,Bass Drum
Voice,113.0,0.5,Snare Drum
Voice,113.5,0.5,Snare Drum
Voice,114.0,0.5,Bass Drum
Voice,114.5,0.5,Bass Drum
Voice,115.0,0.5,Snare Drum
Voice,115.5,0.5,Bass Drum
Voice,116.0,0.5,Bass Drum
Voice,116.5,0.5,Bass Drum
Voice,117.0,0.5,Snare Drum
Voice,117.5,0.5,Bass Drum
Voice,118.0,1.0,Bass Drum
Voice,119.0,0.5,Snare Drum
Voice,119.5,0.5,Bass Drum
Voice,120.0,1.0,Bass Drum
Voice,121.0,0.5,Snare Drum
Voice,121.5,0.5,Snare Drum
Voice,122.0,0.5,Bass Drum
Voice,122.5,0.5,Bass Drum
Voice,123.0,0.5,Snare Drum
Voice,123.5,0.5,Bass Drum
Voice,124.0,0.5,Bass Drum
Voice,124.5,0.5,Bass Drum
Voice,125.0,0.5,Snare Drum
Voice,125.5,0.5,Bass Drum
Voice,126.0,1.0,Bass Drum
Voice,127.0,0.5,Snare Drum
Voice,127.5,0.5,Bass Drum
Voice,128.0,1.0,Bass Drum
Voice,129.0,0.5,Snare Drum
Voice,129.5,0.5,Snare Drum
Voice,130.0,0.5,Bass Drum
Voice,130.5,0.5,Bass Drum
Voice,131.0,0.5,Snare Drum
Voice,131.5,0.5,Bass Drum
Voice,132.0,0.5,Bass Drum
Voice,132.5,0.5,Bass Drum
Voice,133.0,0.5,Snare Drum
Voice,133.5,0.5,Bass Drum
Voice,134.0,0.5,Snare Drum
Voice,134.5,0.5,Snare Drum
Voice,135.0,0.5,Bass Drum
Voice,135.5,0.5,Bass Drum
Voice,136.0,1.0,Bass Drum
