Count,Instrument 1,Instrument 2
1,,
e,,
&,,
a,,
2,,
e,,
&,,
a,,
3,,
e,,
&,,
a,,
4,,
e,,
&,,
a,,
1,,
e,,
&,,
a,,
2,,
e,,
&,,
a,,
3,,
e,,
&,,
a,,
4,,
e,,
&,,
a,,
1,,
e,,
&,,
a,,
2,,
e,,
&,,
a,,
3,,
e,,
&,,
a,,
4,,
e,,
&,,
a,,
1,,
e,,
&,,
a,,
2,,
e,,
&,,
a,,
3,,
e,,
&,Hi-Hat (Closed),
a,,
4,Snare Drum,
e,,
&,Bass Drum,
a,,
1,Tom-tom,Hi-Hat (Open)
e,,
&,,
a,,
2,Ghost Note,Bass Drum
e,,
&,Ghost Note,
a,,
3,Ghost Note,Hi-Hat (Open)
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
4,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
1,Ghost Note,Hi-Hat (Open)
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
2,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
3,Ghost Note,
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
4,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
1,Ghost Note,Hi-Hat (Open)
e,,
&,Ghost Note,
a,,
2,Ghost Note,Bass Drum
e,,
&,Ghost Note,
a,,
3,Ghost Note,Hi-Hat (Open)
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
4,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
1,Ghost Note,Hi-Hat (Open)
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
2,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
3,Ghost Note,
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
4,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
1,Tom-tom,Hi-Hat (Open)
e,,
&,,
a,,
2,Ghost Note,Bass Drum
e,,
&,Ghost Note,
a,,
3,Ghost Note,Hi-Hat (Open)
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
4,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
1,Ghost Note,Hi-Hat (Open)
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
2,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
3,Ghost Note,
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
4,Ghost Note,Bass Drum
e,,
&,Ghost Note,Hi-Hat (Open)
a,,
1,Ghost Note,Hi-Hat (Open)
e,,
&,Ghost Note,
a,,
2,Ghost Note,Bass Drum
e,,
