QuarterBass Drumeat Count,Offset (Quarter LenSnare Drumth),Instrument1,Instrument2,Instrument1 Duration,Instrument2 Duration,Beat Subdivision
1,0,,,,,
2,0.25,,,,,
3,0.5,,,,,
4,0.75,,,,,
5,1,,,,,
6,1.25,,,,,
7,1.5,,,,,
8,1.75,,,,,
9,2,,,,,
10,2.25,,,,,
11,2.5,,,,,
12,2.75,,,,,
13,3,,,,,
14,3.25,,,,,
15,3.5,,,,,
16,3.75,,,,,
17,4,,,,,
18,4.25,,,,,
19,4.5,,,,,
20,4.75,,,,,
21,5,,,,,
22,5.25,,,,,
23,5.5,,,,,
24,5.75,,,,,
25,6,,,,,
26,6.25,,,,,
27,6.5,,,,,
28,6.75,,,,,
29,7,,,,,
30,7.25,,,,,
31,7.5,,,,,
32,7.75,,,,,
33,8,,,,,
34,8.25,,,,,
35,8.5,,,,,
36,8.75,,,,,
37,9,,,,,
38,9.25,,,,,
39,9.5,,,,,
40,9.75,,,,,
41,10,,,,,
42,10.25,,,,,
43,10.5,,,,,
44,10.75,,,,,
45,11,,,,,
46,11.25,,,,,
47,11.5,,,,,
48,11.75,,,,,
49,12,,,,,
50,12.25,,,,,
51,12.5,,,,,
52,12.75,,,,,
53,13,,,,,
54,13.25,,,,,
55,13.5,,,,,
56,13.75,,,,,
57,14,,,,,
58,14.25,,,,,
59,14.5,Hi-Hat (Closed),,[0.5],,3rd Quarter
60,14.75,,,,,
61,15,Snare Drum,,[0.5],,1st Quarter
62,15.25,,,,,
63,15.5,Bass Drum,,[0.5],,3rd Quarter
64,15.75,,,,,
65,16,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
66,16.25,,,,,
67,16.5,,,,,
68,16.75,,,,,
69,17,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
70,17.25,,,,,
71,17.5,Snare Drum,,[0.5],,3rd Quarter
72,17.75,,,,,
73,18,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
74,18.25,,,,,
75,18.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
76,18.75,,,,,
77,19,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
78,19.25,,,,,
79,19.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
80,19.75,,,,,
81,20,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
82,20.25,,,,,
83,20.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
84,20.75,,,,,
85,21,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
86,21.25,,,,,
87,21.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
88,21.75,,,,,
89,22,Snare Drum,,[0.5],,1st Quarter
90,22.25,,,,,
91,22.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
92,22.75,,,,,
93,23,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
94,23.25,,,,,
95,23.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
96,23.75,,,,,
97,24,Snare Drum, Hi-Hat (Open),[0.5, 1.0],1st Quarter
98,24.25,,,,,
99,24.5,Snare Drum,,[0.5],,3rd Quarter
100,24.75,,,,,
101,25,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
102,25.25,,,,,
103,25.5,Snare Drum,,[0.5],,3rd Quarter
104,25.75,,,,,
105,26,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
106,26.25,,,,,
107,26.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
108,26.75,,,,,
109,27,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
110,27.25,,,,,
111,27.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
112,27.75,,,,,
113,28,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
114,28.25,,,,,
115,28.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
116,28.75,,,,,
117,29,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
118,29.25,,,,,
119,29.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
120,29.75,,,,,
121,30,Snare Drum,,[0.5],,1st Quarter
122,30.25,,,,,
123,30.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
124,30.75,,,,,
125,31,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
126,31.25,,,,,
127,31.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
128,31.75,,,,,
129,32,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
130,32.25,,,,,
131,32.5,,,,,
132,32.75,,,,,
133,33,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
