Count,Instrument 1,Instrument 2,Section
1,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
2,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
3,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
4,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
1,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
2,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
3,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
4,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
1,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
2,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
3,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
4,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
1,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
2,,,Get Ready
e,,,Get Ready
&,,,Get Ready
a,,,Get Ready
3,,,Get Ready
e,,,Get Ready
&,Hi-Hat (Closed),,Verse 1
a,,,Verse 1
4,Snare Drum,,Verse 1
e,,,Verse 1
&,Bass Drum,,Verse 1
a,,,Verse 1
1,Tom-tom,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Tom-tom,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,Bass Drum,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Tom-tom,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Tom-tom,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,,,Verse 1
a,,,Verse 1
2,Tom-tom,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
3,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
3,Ghost Note,,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
4,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,Hi-Hat (Open),Verse 1
a,,,Verse 1
1,Ghost Note,Hi-Hat (Open),Verse 1
e,,,Verse 1
&,Ghost Note,,Verse 1
a,,,Verse 1
2,Ghost Note,Bass Drum,Verse 1
e,,,Verse 1
&,Ghost Note,,Chorus 1
a,Bass Drum,,Chorus 1
3,Ghost Note,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
4,Ghost Note,Bass Drum,Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
1,Ghost Note,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
2,Ghost Note,Bass Drum,Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
3,Ghost Note,,Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
4,Ghost Note,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Tom-tom,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
3,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,Hi-Hat (Open),,Chorus 1
a,,,Chorus 1
4,Tom-tom,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
3,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
4,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Tom-tom,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
3,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,Hi-Hat (Open),,Chorus 1
a,,,Chorus 1
4,Tom-tom,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
3,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
4,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Tom-tom,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
3,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,Hi-Hat (Open),,Chorus 1
a,,,Chorus 1
4,Tom-tom,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
3,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
4,Bass Drum,Hi-Hat (Open),Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Tom-tom,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
3,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,Hi-Hat (Open),,Chorus 1
a,,,Chorus 1
4,Tom-tom,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Bass Drum,,Chorus 1
e,Bass Drum,,Chorus 1
&,Bass Drum,,Chorus 1
a,Bass Drum,,Chorus 1
3,Hi-Hat (Closed),,Chorus 1
e,Hi-Hat (Closed),,Chorus 1
&,Snare Drum,,Chorus 1
a,Hi-Hat (Open),,Chorus 1
4,Bass Drum,Bass Drum,Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
1,Tom-tom,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,,,Chorus 1
a,,,Chorus 1
2,Ghost Note,Bass Drum,Chorus 1
e,,,Chorus 1
&,Ghost Note,,Chorus 1
a,,,Chorus 1
3,Ghost Note,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
4,Ghost Note,Bass Drum,Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
1,Ghost Note,Hi-Hat (Open),Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
2,Ghost Note,Bass Drum,Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Chorus 1
a,,,Chorus 1
3,Ghost Note,,Chorus 1
e,,,Chorus 1
&,Ghost Note,Hi-Hat (Open),Verse 2
a,,,Verse 2
4,Ghost Note,Bass Drum,Verse 2
e,,,Verse 2
&,Ghost Note,Hi-Hat (Open),Verse 2
a,,,Verse 2
1,Ghost Note,Hi-Hat (Open),Verse 2
e,,,Verse 2
&,Ghost Note,,Verse 2
a,,,Verse 2
2,Ghost Note,Bass Drum,Verse 2
e,,,Verse 2
&,Ghost Note,,Verse 2
a,,,Verse 2
3,Ghost Note,Hi-Hat (Open),Verse 2
e,,,Verse 2
&,Ghost Note,Hi-Hat (Open),Verse 2
a,,,Verse 2
4,Ghost Note,Bass Drum,Verse 2
e,,,Verse 2
&,Ghost Note,Hi-Hat (Open),Verse 2
a,,,Verse 2
1,Ghost Note,Hi-Hat (Open),Verse 2
e,,,Verse 2
&,Ghost Note,Hi-Hat (Open),Verse 2
a,,,Verse 2
2,Ghost Note,Bass Drum,Verse 2
e,,,Verse 2
&,Ghost Note,Hi-Hat (Open),Verse 2
a,,,Verse 2
3,Ghost Note,,Verse 2
e,,,Verse 2
&,Ghost Note,Hi-Hat (Open),Verse 2
a,,,Verse 2
4,Ghost Note,Bass Drum,Verse 2
e,,,Verse 2
&,Ghost Note,Hi-Hat (Open),Verse 2
a,,,Verse 2
1,Ghost Note,Hi-Hat (Open),Verse 2
e,,,Verse 2
&,Ghost Note,,Verse 2
a,,,Verse 2
2,Ghost Note,Bass Drum,Verse 2
