Count,Offset (Beat),Instrument,Duration (Quarter)
1,12.0,Hi-Hat (Closed),0.5
&,12.5,Hi-Hat (Open),0.5
1,16.0,Snare,0.5
&,16.5,Snare,0.5
1,16.0,Kick,0.5
&,16.5,Kick,0.5
2,17.0,Kick,0.5
&,17.5,Kick,0.5
1,20.0,Snare,0.5
&,20.5,Snare,0.5
1,20.0,Kick,0.5
&,20.5,Kick,0.5
2,21.0,Kick,0.5
&,21.5,Kick,0.5
3,22.0,Kick,0.5
1,28.0,Snare,0.5
&,28.5,Snare,0.5
1,28.0,Kick,0.5
&,28.5,Kick,0.5
2,29.0,Kick,0.5
&,29.5,Kick,0.5
3,30.0,Kick,0.5
1,36.0,Snare,0.5
&,36.5,Snare,0.5
1,36.0,Kick,0.5
&,36.5,Kick,0.5
2,37.0,Kick,0.5
&,37.5,Kick,0.5
1,40.0,Snare,0.5
&,40.5,Snare,0.5
1,40.0,Kick,0.5
&,40.5,Kick,0.5
2,41.0,Kick,0.5
&,41.5,Kick,0.5
3,42.0,Kick,0.5
1,48.0,Snare,0.5
&,48.5,Snare,0.5
1,48.0,Kick,0.5
&,48.5,Kick,0.5
2,49.0,Kick,0.5
&,49.5,Kick,0.5
3,50.0,Kick,0.5
1,56.0,Snare,0.5
&,56.5,Snare,0.5
1,56.0,Kick,0.5
&,56.5,Kick,0.5
2,57.0,Kick,0.5
&,57.5,Kick,0.5
3,58.0,Kick,0.5
1,64.0,Snare,0.5
&,64.5,Snare,0.5
2,65.0,Snare,0.5
1,64.0,Kick,0.5
&,64.5,Kick,0.5
2,65.0,Kick,0.5
&,65.5,Kick,0.5
1,68.0,Snare,0.5
&,68.5,Snare,0.5
1,68.0,Kick,0.5
&,68.5,Kick,0.5
2,69.0,Kick,0.5
&,69.5,Kick,0.5
3,70.0,Kick,0.5
1,72.0,Snare,0.5
&,72.5,Snare,0.5
1,72.0,Kick,0.5
&,72.5,Kick,0.5
2,73.0,Kick,0.5
&,73.5,Kick,0.5
1,76.0,Snare,0.5
&,76.5,Snare,0.5
1,76.0,Kick,0.5
&,76.5,Kick,0.5
2,77.0,Kick,0.5
&,77.5,Kick,0.5
3,78.0,Kick,0.5
1,84.0,Snare,0.5
&,84.5,Snare,0.5
1,84.0,Kick,0.5
&,84.5,Kick,0.5
2,85.0,Kick,0.5
&,85.5,Kick,0.5
3,86.0,Kick,0.5
1,92.0,Snare,0.5
&,92.5,Snare,0.5
1,92.0,Kick,0.5
&,92.5,Kick,0.5
2,93.0,Kick,0.5
&,93.5,Kick,0.5
3,94.0,Kick,0.5
1,100.0,Snare,0.5
&,100.5,Snare,0.5
2,101.0,Snare,0.5
1,100.0,Kick,0.5
&,100.5,Kick,0.5
2,101.0,Kick,0.5
&,101.5,Kick,0.5
1,104.0,Snare,0.5
&,104.5,Snare,0.5
1,104.0,Kick,0.5
&,104.5,Kick,0.5
2,105.0,Kick,0.5
&,105.5,Kick,0.5
3,106.0,Kick,0.5
1,108.0,Snare,0.5
&,108.5,Snare,0.5
1,108.0,Kick,0.5
&,108.5,Kick,0.5
2,109.0,Kick,0.5
1,112.0,Snare,0.5
&,112.5,Snare,0.5
2,113.0,Snare,0.5
&,113.5,Snare,0.5
1,112.0,Kick,0.5
1,120.0,Snare,0.5
&,120.5,Snare,0.5
2,121.0,Snare,0.5
&,121.5,Snare,0.5
1,120.0,Kick,0.5
1,128.0,Snare,0.5
&,128.5,Snare,0.5
2,129.0,Snare,0.5
&,129.5,Snare,0.5
1,128.0,Kick,0.5
1,136.0,Snare,0.5
&,136.5,Snare,0.5
1,136.0,Kick,0.5
&,136.5,Kick,0.5
2,137.0,Kick,0.5
1,140.0,Hi-Hat (Closed),0.5
&,140.5,Hi-Hat (Closed),0.5
1,140.0,Snare,0.5
&,140.5,Snare,0.5
2,141.0,Snare,0.5
&,141.5,Snare,0.5
1,140.0,Kick,0.5
&,140.5,Kick,0.5
1,144.0,Snare,0.5
&,144.5,Snare,0.5
2,145.0,Snare,0.5
&,145.5,Snare,0.5
1,144.0,Kick,0.5
&,144.5,Kick,0.5
2,145.0,Kick,0.5
&,145.5,Kick,0.5
1,148.0,Snare,0.5
&,148.5,Snare,0.5
1,148.0,Kick,0.5
&,148.5,Kick,0.5
2,149.0,Kick,0.5
&,149.5,Kick,0.5
1,152.0,Snare,0.5
&,152.5,Snare,0.5
2,153.0,Snare,0.5
1,152.0,Kick,0.5
&,152.5,Kick,0.5
2,153.0,Kick,0.5
&,153.5,Kick,0.5
1,160.0,Snare,0.5
&,160.5,Snare,0.5
2,161.0,Snare,0.5
1,160.0,Kick,0.5
&,160.5,Kick,0.5
2,161.0,Kick,0.5
&,161.5,Kick,0.5
1,168.0,Snare,0.5
&,168.5,Snare,0.5
2,169.0,Snare,0.5
1,168.0,Kick,0.5
&,168.5,Kick,0.5
2,169.0,Kick,0.5
&,169.5,Kick,0.5
1,176.0,Snare,0.5
&,176.5,Snare,0.5
1,176.0,Kick,0.5
&,176.5,Kick,0.5
2,177.0,Kick,0.5
&,177.5,Kick,0.5
1,180.0,Snare,0.5
&,180.5,Snare,0.5
1,180.0,Kick,0.5
&,180.5,Kick,0.5
2,181.0,Kick,0.5
&,181.5,Kick,0.5
3,182.0,Kick,0.5
1,184.0,Snare,0.5
&,184.5,Snare,0.5
2,185.0,Snare,0.5
1,184.0,Kick,0.5
&,184.5,Kick,0.5
2,185.0,Kick,0.5
&,185.5,Kick,0.5
1,188.0,Snare,0.5
&,188.5,Snare,0.5
1,188.0,Kick,0.5
&,188.5,Kick,0.5
2,189.0,Kick,0.5
&,189.5,Kick,0.5
3,190.0,Kick,0.5
1,196.0,Snare,0.5
&,196.5,Snare,0.5
1,196.0,Kick,0.5
&,196.5,Kick,0.5
2,197.0,Kick,0.5
&,197.5,Kick,0.5
3,198.0,Kick,0.5
1,204.0,Snare,0.5
&,204.5,Snare,0.5
2,205.0,Snare,0.5
1,204.0,Kick,0.5
&,204.5,Kick,0.5
2,205.0,Kick,0.5
&,205.5,Kick,0.5
1,208.0,Snare,0.5
&,208.5,Snare,0.5
1,208.0,Kick,0.5
&,208.5,Kick,0.5
2,209.0,Kick,0.5
&,209.5,Kick,0.5
3,210.0,Kick,0.5
1,212.0,Snare,0.5
&,212.5,Snare,0.5
2,213.0,Snare,0.5
1,212.0,Kick,0.5
&,212.5,Kick,0.5
2,213.0,Kick,0.5
&,213.5,Kick,0.5
1,216.0,Snare,0.5
&,216.5,Snare,0.5
1,216.0,Kick,0.5
&,216.5,Kick,0.5
2,217.0,Kick,0.5
&,217.5,Kick,0.5
3,218.0,Kick,0.5
1,220.0,Snare,0.5
&,220.5,Snare,0.5
1,220.0,Kick,0.5
&,220.5,Kick,0.5
2,221.0,Kick,0.5
&,221.5,Kick,0.5
1,224.0,Snare,0.5
&,224.5,Snare,0.5
2,225.0,Snare,0.5
1,224.0,Kick,0.5
&,224.5,Kick,0.5
2,225.0,Kick,0.5
&,225.5,Kick,0.5
1,232.0,Snare,0.5
&,232.5,Snare,0.5
2,233.0,Snare,0.5
1,232.0,Kick,0.5
&,232.5,Kick,0.5
2,233.0,Kick,0.5
&,233.5,Kick,0.5
1,240.0,Snare,0.5
&,240.5,Snare,0.5
1,240.0,Kick,0.5
&,240.5,Kick,0.5
2,241.0,Kick,0.5
&,241.5,Kick,0.5
1,244.0,Snare,0.5
&,244.5,Snare,0.5
1,244.0,Kick,0.5
&,244.5,Kick,0.5
2,245.0,Kick,0.5
&,245.5,Kick,0.5
3,246.0,Kick,0.5
1,248.0,Snare,0.5
&,248.5,Snare,0.5
2,249.0,Snare,0.5
1,248.0,Kick,0.5
&,248.5,Kick,0.5
2,249.0,Kick,0.5
&,249.5,Kick,0.5
1,252.0,Snare,0.5
&,252.5,Snare,0.5
1,252.0,Kick,0.5
&,252.5,Kick,0.5
2,253.0,Kick,0.5
&,253.5,Kick,0.5
3,254.0,Kick,0.5
1,256.0,Snare,0.5
&,256.5,Snare,0.5
2,257.0,Snare,0.5
1,256.0,Kick,0.5
&,256.5,Kick,0.5
2,257.0,Kick,0.5
&,257.5,Kick,0.5
1,260.0,Snare,0.5
&,260.5,Snare,0.5
1,260.0,Kick,0.5
&,260.5,Kick,0.5
2,261.0,Kick,0.5
&,261.5,Kick,0.5
3,262.0,Kick,0.5
1,264.0,Snare,0.5
&,264.5,Snare,0.5
2,265.0,Snare,0.5
1,264.0,Kick,0.5
&,264.5,Kick,0.5
2,265.0,Kick,0.5
&,265.5,Kick,0.5
1,268.0,Snare,0.5
&,268.5,Snare,0.5
1,268.0,Kick,0.5
&,268.5,Kick,0.5
2,269.0,Kick,0.5
&,269.5,Kick,0.5
3,270.0,Kick,0.5
1,272.0,Snare,0.5
&,272.5,Snare,0.5
2,273.0,Snare,0.5
1,272.0,Kick,0.5
&,272.5,Kick,0.5
2,273.0,Kick,0.5
&,273.5,Kick,0.5
1,276.0,Snare,0.5
&,276.5,Snare,0.5
2,277.0,Snare,0.5
1,276.0,Kick,0.5
&,276.5,Kick,0.5
2,277.0,Kick,0.5
&,277.5,Kick,0.5
3,278.0,Kick,0.5
1,280.0,Kick,0.5
