Beat Count,Instrument 1,Instrument 2,Section
1,,,
e,,,
&,,,
a,,,
2,,,
e,,,
&,,,
a,,,
3,,,
e,,,
&,,,
a,,,
4,,,
e,,,
&,,,
a,,,
5,,,
e,,,
&,,,
a,,,
6,,,
e,,,
&,,,
a,,,
7,,,
e,,,
&,,,
a,,,
8,,,
e,,,
&,,,
a,,,
9,,,
e,,,
&,,,
a,,,
10,,,
e,,,
&,,,
a,,,
11,,,
e,,,
&,,,
a,,,
12,,,
e,,,
&,,,
a,,,
13,,,
e,,,
&,,,
a,,,
14,,,
e,,,
&,,,
a,,,
15,,,
e,,,
&,,,
a,,,
16,,,
e,,,
&,,,
a,,,
17,,,
e,,,
&,,,
a,,,
18,,,
e,,,
&,,,
a,,,
19,,,
e,,,
&,,,
a,,,
20,,,
e,,,
&,,,
a,,,
21,,,
e,,,
&,,,
a,,,
22,,,
e,,,
&,,,
a,,,
23,,,
e,,,
&,,,
a,,,
24,,,
e,,,
&,,,
a,,,
25,,,
e,,,
&,,,
a,,,
26,,,
e,,,
&,,,
a,,,
27,,,
e,,,
&,,,
a,,,
28,,,
e,,,
&,,,
a,,,
29,,,
e,,,
&,,,
a,,,
30,,,
e,,,
&,,,
a,,,
31,,,
e,,,
&,,,
a,,,
32,,,
e,,,
&,,,
a,,,
33,,,
e,,,
&,,,
a,,,
34,Bass Drum,Tom-tom,
e,,,
&,,,
a,,,
35,,,
e,,,
&,,,
a,,,
36,,,
e,,,
&,,,
a,,,
37,,,
e,,,
&,Hi-Hat (Open),,
a,Hi-Hat (Open),,
38,Hi-Hat (Open),,
e,,,
&,,,
a,,,
39,,,
e,,,
&,,,
a,,,
40,,,
e,,,
&,,,
a,,,
41,,,
e,,,
&,,,
a,,,
42,Bass Drum,Tom-tom,
e,,,
&,Tom-tom,Snare Drum,
a,,,
43,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
44,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
45,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
46,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
47,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
48,Tom-tom,Snare Drum,
e,,,
&,Bass Drum,,
a,,,
49,Tom-tom,Snare Drum,
e,,,
&,,,
a,,,
50,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
51,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
52,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
53,Snare Drum,Hi-Hat (Open),
e,,,
