Beat Count,Instrument 1,Instrument 2,Offset (Quarter Length)
1,,,0
e,,,0.0625
&,,,0.125
a,,,0.1875
2,,,0.25
e,,,0.3125
&,,,0.375
a,,,0.4375
3,,,0.5
e,,,0.5625
&,,,0.625
a,,,0.6875
4,,,0.75
e,,,0.8125
&,,,0.875
a,,,0.9375
5,,,1
e,,,1.0625
&,,,1.125
a,,,1.1875
6,,,1.25
e,,,1.3125
&,,,1.375
a,,,1.4375
7,,,1.5
e,,,1.5625
&,,,1.625
a,,,1.6875
8,,,1.75
e,,,1.8125
&,,,1.875
a,,,1.9375
9,,,2
e,,,2.0625
&,,,2.125
a,,,2.1875
10,,,2.25
e,,,2.3125
&,,,2.375
a,,,2.4375
11,,,2.5
e,,,2.5625
&,,,2.625
a,,,2.6875
12,,,2.75
e,,,2.8125
&,,,2.875
a,,,2.9375
13,,,3
e,,,3.0625
&,,,3.125
a,,,3.1875
14,,,3.25
e,,,3.3125
&,,,3.375
a,,,3.4375
15,,,3.5
e,,,3.5625
&,,,3.625
a,,,3.6875
16,,,3.75
e,,,3.8125
&,,,3.875
a,,,3.9375
17,,,4
e,,,4.0625
&,,,4.125
a,,,4.1875
18,,,4.25
e,,,4.3125
&,,,4.375
a,,,4.4375
19,,,4.5
e,,,4.5625
&,,,4.625
a,,,4.6875
20,,,4.75
e,,,4.8125
&,,,4.875
a,,,4.9375
21,,,5
e,,,5.0625
&,,,5.125
a,,,5.1875
22,,,5.25
e,,,5.3125
&,,,5.375
a,,,5.4375
23,,,5.5
e,,,5.5625
&,,,5.625
a,,,5.6875
24,,,5.75
e,,,5.8125
&,,,5.875
a,,,5.9375
25,,,6
e,,,6.0625
&,,,6.125
a,,,6.1875
26,,,6.25
e,,,6.3125
&,,,6.375
a,,,6.4375
27,,,6.5
e,,,6.5625
&,,,6.625
a,,,6.6875
28,,,6.75
e,,,6.8125
&,,,6.875
a,,,6.9375
29,,,7
e,,,7.0625
&,,,7.125
a,,,7.1875
30,,,7.25
e,,,7.3125
&,,,7.375
a,,,7.4375
31,,,7.5
e,,,7.5625
&,,,7.625
a,,,7.6875
32,,,7.75
e,,,7.8125
&,,,7.875
a,,,7.9375
33,,,8
e,,,8.0625
&,,,8.125
a,,,8.1875
34,Bass Drum,Tom-tom,8.25
e,,,8.3125
&,,,8.375
a,,,8.4375
35,,,8.5
e,,,8.5625
&,,,8.625
a,,,8.6875
36,,,8.75
e,,,8.8125
&,,,8.875
a,,,8.9375
37,,,9
e,,,9.0625
&,Hi-Hat (Open),,9.125
a,Hi-Hat (Open),,9.1875
38,Hi-Hat (Open),,9.25
e,,,9.3125
&,,,9.375
a,,,9.4375
39,,,9.5
e,,,9.5625
&,,,9.625
a,,,9.6875
40,,,9.75
e,,,9.8125
&,,,9.875
a,,,9.9375
41,,,10
e,,,10.0625
&,,,10.125
a,,,10.1875
42,Bass Drum,Tom-tom,10.25
e,,,10.3125
&,Tom-tom,Snare Drum,10.375
a,,,10.4375
43,Tom-tom,Snare Drum,10.5
e,,,10.5625
&,Tom-tom,Snare Drum,10.625
a,,,10.6875
44,Tom-tom,Snare Drum,10.75
e,,,10.8125
&,Tom-tom,Snare Drum,10.875
a,,,10.9375
45,Tom-tom,Snare Drum,11
e,,,11.0625
&,Tom-tom,Snare Drum,11.125
a,,,11.1875
46,Tom-tom,Snare Drum,11.25
e,,,11.3125
&,Tom-tom,Snare Drum,11.375
a,,,11.4375
47,Tom-tom,Snare Drum,11.5
e,,,11.5625
&,Tom-tom,Snare Drum,11.625
a,,,11.6875
48,Tom-tom,Snare Drum,11.75
e,,,11.8125
&,Bass Drum,,11.875
a,,,11.9375
49,Tom-tom,Snare Drum,12
e,,,12.0625
&,,,12.125
a,,,12.1875
50,Bass Drum,Tom-tom,12.25
e,,,12.3125
&,Hi-Hat (Open),,12.375
